id,title,creator,date,location,image,source,subject
Q2533791,Les licteurs rapportant à Brutus les corps de ses fils,Jacques-Louis David,1789,salle 702,https://commons.wikimedia.org/wiki/Special:FilePath/David%2520Brutus.jpg,https://www.wikidata.org/wiki/Q2533791,Vitellia
Q19912372,Comtesse de la Châtre,Élisabeth Vigée Le Brun,1789,Metropolitan Museum of Art,https://commons.wikimedia.org/wiki/Special:FilePath/Comtesse%2520de%2520la%2520Ch%25C3%25A2tre%2520%2528Marie%2520Charlotte%2520Louise%2520Perrette%2520Agla%25C3%25A9%2520Bontemps%252C%25201762%25E2%2580%25931848%2529%2520MET%2520DP320086.jpg,https://www.wikidata.org/wiki/Q19912372,Marie-Charlotte Bontemps
Q107124863,,Élisabeth Vigée Le Brun,1789,Museu da Música,https://commons.wikimedia.org/wiki/Special:FilePath/Madame%2520Lebrun%2520-%2520Lu%25C3%25ADsa%2520Todi.png,https://www.wikidata.org/wiki/Q107124863,Luiza Rosa Todi
Q29840445,Déploration,Jean-Baptiste Regnault,1789,salle 934,https://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%2520Regnault%2520-%2520The%2520Descent%2520from%2520the%2520Cross%2520-%2520WGA19036.jpg,https://www.wikidata.org/wiki/Q29840445,Marie de Magdala
Q20179648,,Élisabeth Vigée Le Brun,1789,National Gallery of Art,https://commons.wikimedia.org/wiki/Special:FilePath/Madame%2520d%2527Aguesseau%2520de%2520Fresnes%2520by%2520Elisabeth%2520Louise%2520Vig%25C3%25A9e%2520Le%2520Brun%252C%25201789%252C%2520oil%2520on%2520wood%2520-%2520National%2520Gallery%2520of%2520Art%252C%2520Washington%2520-%2520DSC09999.JPG,https://www.wikidata.org/wiki/Q20179648,Louise d'Aguesseau
Q19273424,Madame Vigée Le Brun et sa fille,Élisabeth Vigée Le Brun,1789,salle 702,https://commons.wikimedia.org/wiki/Special:FilePath/Self-portrait%2520with%2520Her%2520Daughter%2520by%2520Elisabeth-Louise%2520Vig%25C3%25A9e%2520Le%2520Brun.jpg,https://www.wikidata.org/wiki/Q19273424,Élisabeth Vigée Le Brun
Q135917349,"Louise-Marie-Adélaïde de Bourbon-Penthièvre, duchesse d'Orléans",Élisabeth Vigée Le Brun,1789,château de Versailles,https://commons.wikimedia.org/wiki/Special:FilePath/Louise-Marie-Ad%25C3%25A9la%25C3%25AFde%2520de%2520Bourbon-Penthi%25C3%25A8vre%252C%2520duchesse%2520d%2527Orl%25C3%25A9ans%2520%2528MV%25204525%2529.jpg,https://www.wikidata.org/wiki/Q135917349,Marie-Adélaïde de Bourbon
Q23653935,Portrait de la duchesse d'Orléans,Élisabeth Vigée Le Brun,1789,Banque de France,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait%2520de%2520Louise%2520Marie%2520Ad%25C3%25A9la%25C3%25AFde%2520de%2520Bourbon-Penthi%25C3%25A8vre%252C%2520duchesse%2520d%2527Orl%25C3%25A9ans%252C%2520par%2520%25C3%2589lisabeth%2520Vig%25C3%25A9e%2520Le%2520Brun.jpg,https://www.wikidata.org/wiki/Q23653935,Marie-Adélaïde de Bourbon
Q83507804,La Princesse de Monléar,Adélaïde Labille-Guiard,1790,Fondation Bemberg,https://commons.wikimedia.org/wiki/Special:FilePath/Bemberg%2520Fondation%2520Toulouse%2520-%2520La%2520Princesse%2520de%2520Montl%25C3%25A9ar%2520%2528V%25201790%2529%2520Pastel%2520-%2520Ad%25C3%25A9la%25C3%25AFde%2520Labille-Guiard%252080x64.jpg,https://www.wikidata.org/wiki/Q83507804,Marie Louise St. Simon-Montléart
Q97643407,Portrait de Mademoiselle Raucourt,Jean-Baptiste Jacques Augustin,1790,musée Cognacq-Jay,https://commons.wikimedia.org/wiki/Special:FilePath/Raucourt%2520Augustin.jpg,https://www.wikidata.org/wiki/Q97643407,Mademoiselle Raucourt
Q41433015,Portrait de la Comtesse Catherine Skavronskaïa,Élisabeth Vigée Le Brun,1790,musée Jacquemart-André,https://commons.wikimedia.org/wiki/Special:FilePath/Skawronska.jpeg,https://www.wikidata.org/wiki/Q41433015,Catherine von Engelhardt
Q97044355,portrait de Mme Pinson,Lié Louis Périn,1790,Réserve des miniatures,https://commons.wikimedia.org/wiki/Special:FilePath/Isabelle%2520Pinson%252C%2520by%2520Li%25C3%25A9%2520Louis%2520P%25C3%25A9rin.png,https://www.wikidata.org/wiki/Q97044355,Isabelle Pinson
Q20878957,Portrait de Madame de Genlis,Adélaïde Labille-Guiard,1790,musée d'Art du comté de Los Angeles,https://commons.wikimedia.org/wiki/Special:FilePath/Madame%2520de%2520Genlis%25201780.jpg,https://www.wikidata.org/wiki/Q20878957,Félicité de Genlis
Q123148178,"Portrait présumé de Madame Elisabeth de France (1764-1794), soeur de Louis XVI",Marie-Gabrielle Capet,1790,Réserve des miniatures,,https://www.wikidata.org/wiki/Q123148178,Élisabeth de France
Q106303487,"Portrait de la reine Marie-Antoinette, de sa fille et de son second fils",François Dumont,1790,Réserve des miniatures,https://commons.wikimedia.org/wiki/Special:FilePath/Fran%25C3%25A7ois%2520Dumont%2520-%2520Marie%2520Antoinette%2520et%2520ses%2520enfants.jpg,https://www.wikidata.org/wiki/Q106303487,Marie-Antoinette
Q108200517,Autoportrait,Aimée Duvivier,1790,musée Accorsi-Ometto,https://commons.wikimedia.org/wiki/Special:FilePath/Aim%25C3%25A9e%2520Duvivier%2520-%2520Self-portrait%2520%25281790%2529.jpg,https://www.wikidata.org/wiki/Q108200517,Aimée Duvivier
Q55078323,Portrait de la Duchesse d'Aiguillon,Adélaïde Labille-Guiard,1790,,https://commons.wikimedia.org/wiki/Special:FilePath/Duchesse%2520d%2527Aiguillon%2520%25281770-1818%2529%252C%2520by%2520Ad%25C3%25A9la%25C3%25AFde%2520Labille-Guiard.jpg,https://www.wikidata.org/wiki/Q55078323,Jeanne-Victoire-Henriette de Montaud de Navailles
Q117471741,Portrait de Charlotte Robespierre,Jean-Baptiste Isabey,1790,musée des Beaux-Arts d'Arras,https://commons.wikimedia.org/wiki/Special:FilePath/Charlotte%2520Robespierre.jpg,https://www.wikidata.org/wiki/Q117471741,Charlotte de Robespierre
Q104373063,"Portrait de Mademoiselle Maillard (Marie-Thérèse Davoux, 1766-1818, dite), chanteuse à l'Opéra",Jean-François Garneray,1790,musée Carnavalet,https://commons.wikimedia.org/wiki/Special:FilePath/Jean-Fran%25C3%25A7ois%2520Garneray%2520-%2520Portrait%2520de%2520Mademoiselle%2520Maillard%2520%2528Marie-Th%25C3%25A9r%25C3%25A8se%2520Davoux%252C%25201766-1818%252C%2520dite%2529%252C%2520chanteuse%2520%25C3%25A0%2520l%2527Op%25C3%25A9ra%2520-%2520P121%2520-%2520Mus%25C3%25A9e%2520Carnavalet.jpg,https://www.wikidata.org/wiki/Q104373063,Marie Thérèse Maillard
Q120811885,,Jean-Louis Voille,1790,musée russe,https://commons.wikimedia.org/wiki/Special:FilePath/Maria%2520Fedorovna%2520by%2520Voille%2520%25281790s%252C%2520Russian%2520museum%2529%252002.JPG,https://www.wikidata.org/wiki/Q120811885,Sophie-Dorothée de Wurtemberg
Q104371557,Portrait présumé de Lucile Desmoulins (1771-1794),Louis-Léopold Boilly,1790,musée Carnavalet,https://commons.wikimedia.org/wiki/Special:FilePath/LucileDesmoulins.jpg,https://www.wikidata.org/wiki/Q104371557,Lucile Desmoulins
Q97642917,Portrait présumé de Lucile Desmoulins,Louis-Léopold Boilly,1790,musée Cognacq-Jay,https://commons.wikimedia.org/wiki/Special:FilePath/Boilly%252C%2520Louis%2520L%25C3%25A9opold%2520-%2520Portrait%2520pr%25C3%25A9sum%25C3%25A9%2520de%2520Lucile%2520Desmoulins%2520-%2520J%2520725%2520-%2520Mus%25C3%25A9e%2520Cognacq-Jay.jpg,https://www.wikidata.org/wiki/Q97642917,Lucile Desmoulins
Q64576700,"Portrait de Diane de La Vaupalière, comtesse de Langeron",Rose-Adélaïde Ducreux,1790,musée d'art Nelson-Atkins,https://commons.wikimedia.org/wiki/Special:FilePath/Diana%2520de%2520la%2520Vaupali%25C3%25A8re%252C%2520Comtesse%2520de%2520Langeron.jpg,https://www.wikidata.org/wiki/Q64576700,Thérèse Diane Maignard de la Vaupalière
Q23008968,Autoportrait,Marguerite-Julie-Antoinette Houdon,1790,,https://commons.wikimedia.org/wiki/Special:FilePath/Marguerite%2520J.%2520A.%2520Houdon%2520-%2520Self-portrait.jpg,https://www.wikidata.org/wiki/Q23008968,Marguerite-Julie-Antoinette Houdon
Q23013359,Autoportrait,Marie-Victoire Jaquotot,1790,,https://commons.wikimedia.org/wiki/Special:FilePath/Marie%2520Victoire%2520Jaquotot%2520Self-portrait.jpg,https://www.wikidata.org/wiki/Q23013359,Marie-Victoire Jaquotot
Q106303487,"Portrait de la reine Marie-Antoinette, de sa fille et de son second fils",François Dumont,1790,Réserve des miniatures,https://commons.wikimedia.org/wiki/Special:FilePath/Fran%25C3%25A7ois%2520Dumont%2520-%2520Marie%2520Antoinette%2520et%2520ses%2520enfants.jpg,https://www.wikidata.org/wiki/Q106303487,Marie-Thérèse de France
Q19361572,L'artiste exécutant un portrait de la reine Marie-Antoinette,Élisabeth Vigée Le Brun,1790,galerie des Offices,https://commons.wikimedia.org/wiki/Special:FilePath/Self-portrait%2520%2528by%2520Elisabeth%2520Vig%25C3%25A9e-Lebrun%2529%2520%25E2%2580%2593%2520Galleria%2520degli%2520Uffizi%252C%2520Florence.jpg,https://www.wikidata.org/wiki/Q19361572,Élisabeth Vigée Le Brun
Q23037773,Portrait de l'artiste,Élisabeth Vigée Le Brun,1790,Musée des Beaux-Arts et de la Céramique,https://commons.wikimedia.org/wiki/Special:FilePath/Vig%25C3%25A9e-Lebrun.%2520Autoportrait.jpg,https://www.wikidata.org/wiki/Q23037773,Élisabeth Vigée Le Brun
Q88966931,Portrait de Lady Hamilton (1761–1815),Élisabeth Vigée Le Brun,1790,,https://commons.wikimedia.org/wiki/Special:FilePath/Emma%2520Hamilton%2520by%2520%25C3%2589lisabeth%2520Louise%2520Vig%25C3%25A9e%2520Le%2520Brun.jpg,https://www.wikidata.org/wiki/Q88966931,Emma Hamilton
Q88966144,Portrait de Lady Hamilton (1761–1815),Élisabeth Vigée Le Brun,1790,Lady Lever Art Gallery,https://commons.wikimedia.org/wiki/Special:FilePath/LadyHamilton.jpg,https://www.wikidata.org/wiki/Q88966144,Emma Hamilton
Q52206751,,Joseph Boze,1790,Hartwell House,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait%2520de%2520Marie-Jos%25C3%25A9phine-Louise%2520de%2520Savoie%252C%2520comtesse%2520de%2520Provence%2520%25281786%25291.jpg,https://www.wikidata.org/wiki/Q52206751,Marie-Joséphine de Savoie
Q131439878,,Élisabeth Vigée Le Brun,1790,musée du Prado,https://commons.wikimedia.org/wiki/Special:FilePath/Marie%2520Louise%2520Elisabeth%2520Vig%25C3%25A9e-Le%2520Brun%2520-%2520La%2520princesa%2520Mar%25C3%25ADa%2520Cristina%2520de%2520Borb%25C3%25B3n.jpg,https://www.wikidata.org/wiki/Q131439878,Marie-Christine de Bourbon-Siciles
Q18923677,Portrait de la princesse Maria Cristina,Élisabeth Vigée Le Brun,1790,musée de Capodimonte,https://commons.wikimedia.org/wiki/Special:FilePath/Maria%2520Cristina%2520by%2520%25C3%2589lisabeth%2520Vig%25C3%25A9e.jpg,https://www.wikidata.org/wiki/Q18923677,Marie-Christine de Bourbon-Siciles
Q43224964,Portrait miniature de Marie-Suzanne Doucet de Surigny,Jeanne Doucet de Surigny,1790,Nationalmuseum,https://commons.wikimedia.org/wiki/Special:FilePath/Marie%2520Suzanne%2520Doucet%2520de%2520Surigny%252C%2520g%2520-%2520Nationalmuseum%2520-%2520134780.tif,https://www.wikidata.org/wiki/Q43224964,
Q66317073,Sapho se précipitant à la mer,Jean-Joseph Taillasson,1791,musée des Beaux-Arts de Brest,https://commons.wikimedia.org/wiki/Special:FilePath/Sapho%2520se%2520pr%25C3%25A9cipitant%2520%25C3%25A0%2520la%2520mer-Jean-Joseph%2520Taillasson%2520mg%25208216.jpg,https://www.wikidata.org/wiki/Q66317073,Sappho
